date,freight_rate,open,high,low,vol,change,freight_rate_outlier
2016-01-07,445.0,445.00,445.00,445.00,,-4.71%,False
2016-01-08,429.0,429.00,429.00,429.00,,-3.60%,False
2016-01-11,415.0,415.00,415.00,415.00,,-3.26%,False
2016-01-12,402.0,402.00,402.00,402.00,,-3.13%,False
2016-01-13,394.0,394.00,394.00,394.00,,-1.99%,False
2016-01-14,383.0,383.00,383.00,383.00,,-2.79%,False
2016-01-15,373.0,373.00,373.00,373.00,,-2.61%,False
2016-01-18,369.0,369.00,369.00,369.00,,-1.07%,False
2016-01-19,363.0,363.00,363.00,363.00,,-1.63%,False
2016-01-20,358.0,358.00,358.00,358.00,,-1.38%,False
2016-01-21,355.0,355.00,355.00,355.00,,-0.84%,False
2016-01-22,354.0,354.00,354.00,354.00,,-0.28%,False
2016-01-25,354.0,354.00,354.00,354.00,,0.00%,False
2016-01-26,345.0,345.00,345.00,345.00,,-2.54%,False
2016-01-27,337.0,337.00,337.00,337.00,,-2.32%,False
2016-01-28,325.0,325.00,325.00,325.00,,-3.56%,False
2016-01-29,317.0,317.00,317.00,317.00,,-2.46%,False
2016-02-01,314.0,314.00,314.00,314.00,,-0.95%,False
2016-02-02,310.0,310.00,310.00,310.00,,-1.27%,False
2016-02-03,303.0,303.00,303.00,303.00,,-2.26%,False
2016-02-04,298.0,298.00,298.00,298.00,,-1.65%,False
2016-02-05,297.0,297.00,297.00,297.00,,-0.34%,False
2016-02-08,293.0,293.00,293.00,293.00,,-1.35%,False
2016-02-09,291.0,291.00,291.00,291.00,,-0.68%,False
2016-02-10,290.0,290.00,290.00,290.00,,-0.34%,False
2016-02-11,290.0,290.00,290.00,290.00,,0.00%,False
2016-02-12,291.0,291.00,291.00,291.00,,0.34%,False
2016-02-15,295.0,295.00,295.00,295.00,,1.37%,False
2016-02-16,301.0,301.00,301.00,301.00,,2.03%,False
2016-02-17,307.0,307.00,307.00,307.00,,1.99%,False
2016-02-18,313.0,313.00,313.00,313.00,,1.95%,False
2016-02-19,315.0,315.00,315.00,315.00,,0.64%,False
2016-02-22,316.0,316.00,316.00,316.00,,0.32%,False
2016-02-23,318.0,318.00,318.00,318.00,,0.63%,False
2016-02-24,322.0,322.00,322.00,322.00,,1.26%,False
2016-02-25,325.0,325.00,325.00,325.00,,0.93%,False
2016-02-26,327.0,327.00,327.00,327.00,,0.62%,False
2016-02-29,329.0,329.00,329.00,329.00,,0.61%,False
2016-03-01,332.0,332.00,332.00,332.00,,0.91%,False
2016-03-02,335.0,335.00,335.00,335.00,,0.90%,False
2016-03-03,342.0,342.00,342.00,342.00,,2.09%,False
2016-03-04,349.0,349.00,349.00,349.00,,2.05%,False
2016-03-07,354.0,354.00,354.00,354.00,,1.43%,False
2016-03-08,366.0,366.00,366.00,366.00,,3.39%,False
2016-03-09,376.0,376.00,376.00,376.00,,2.73%,False
2016-03-10,384.0,384.00,384.00,384.00,,2.13%,False
2016-03-11,388.0,388.00,388.00,388.00,,1.04%,False
2016-03-14,393.0,393.00,393.00,393.00,,1.29%,False
2016-03-15,396.0,396.00,396.00,396.00,,0.76%,False
2016-03-16,393.0,393.00,393.00,393.00,,-0.76%,False
2016-03-17,392.0,392.00,392.00,392.00,,-0.25%,False
2016-03-18,395.0,395.00,395.00,395.00,,0.77%,False
2016-03-21,398.0,398.00,398.00,398.00,,0.76%,False
2016-03-22,398.0,398.00,398.00,398.00,,0.00%,False
2016-03-23,401.0,401.00,401.00,401.00,,0.75%,False
2016-03-24,406.0,406.00,406.00,406.00,,1.25%,False
2016-03-29,409.0,409.00,409.00,409.00,,0.74%,False
2016-03-30,414.0,414.00,414.00,414.00,,1.22%,False
2016-03-31,429.0,429.00,429.00,429.00,,3.62%,False
2016-04-01,450.0,450.00,450.00,450.00,,4.90%,False
2016-04-04,471.0,471.00,471.00,471.00,,4.67%,False
2016-04-05,487.0,487.00,487.00,487.00,,3.40%,False
2016-04-06,500.0,500.00,500.00,500.00,,2.67%,False
2016-04-07,517.0,517.00,517.00,517.00,,3.40%,False
2016-04-08,539.0,539.00,539.00,539.00,,4.26%,False
2016-04-11,555.0,555.00,555.00,555.00,,2.97%,False
2016-04-12,560.0,560.00,560.00,560.00,,0.90%,False
2016-04-13,567.0,567.00,567.00,567.00,,1.25%,False
2016-04-14,597.0,597.00,597.00,597.00,,5.29%,False
2016-04-15,635.0,635.00,635.00,635.00,,6.37%,False
2016-04-18,659.0,659.00,659.00,659.00,,3.78%,False
2016-04-19,671.0,671.00,671.00,671.00,,1.82%,False
2016-04-20,669.0,669.00,669.00,669.00,,-0.30%,False
2016-04-21,670.0,670.00,670.00,670.00,,0.15%,False
2016-04-22,688.0,688.00,688.00,688.00,,2.69%,False
2016-04-25,690.0,690.00,690.00,690.00,,0.29%,False
2016-04-26,704.0,704.00,704.00,704.00,,2.03%,False
2016-04-27,715.0,715.00,715.00,715.00,,1.56%,False
2016-04-28,710.0,710.00,710.00,710.00,,-0.70%,False
2016-04-29,703.0,703.00,703.00,703.00,,-0.99%,False
2016-05-03,682.0,682.00,682.00,682.00,,-2.99%,False
2016-05-04,652.0,652.00,652.00,652.00,,-4.40%,False
2016-05-05,642.0,642.00,642.00,642.00,,-1.53%,False
2016-05-06,631.0,631.00,631.00,631.00,,-1.71%,False
2016-05-09,616.0,616.00,616.00,616.00,,-2.38%,False
2016-05-10,594.0,594.00,594.00,594.00,,-3.57%,False
2016-05-11,579.0,579.00,579.00,579.00,,-2.53%,False
2016-05-12,579.0,579.00,579.00,579.00,,0.00%,False
2016-05-13,600.0,600.00,600.00,600.00,,3.63%,False
2016-05-16,613.0,613.00,613.00,613.00,,2.17%,False
2016-05-17,643.0,643.00,643.00,643.00,,4.89%,False
2016-05-18,642.0,642.00,642.00,642.00,,-0.16%,False
2016-05-19,634.0,634.00,634.00,634.00,,-1.25%,False
2016-05-20,625.0,625.00,625.00,625.00,,-1.42%,False
2016-05-23,624.0,624.00,624.00,624.00,,-0.16%,False
2016-05-24,618.0,618.00,618.00,618.00,,-0.96%,False
2016-05-25,605.0,605.00,605.00,605.00,,-2.10%,False
2016-05-26,601.0,601.00,601.00,601.00,,-0.66%,False
